absolute_course_url,course_name,subject_name
https://www.class-central.com/course/futurelearn-unleash-your-potential-innovation-and-enterprise-9888,Unleash Your Potential: Innovation and Enterprise,Business
https://www.class-central.com/course/coursera-corporate-strategy-9925,Corporate Strategy,Business
https://www.class-central.com/course/coursera---1------10793,"Маркетинг. Часть 1. Основные категории, принципы и подходы",Business
https://www.class-central.com/course/coursera-fundraising-and-development-foundations-10795,Fundraising and Development Foundations,Business
https://www.class-central.com/course/coursera-protecting-business-innovations-via-strategy-10496,Protecting Business Innovations via Strategy,Business
https://www.class-central.com/course/coursera-customer-insights-quantitative-techniques-10428,Customer Insights: Quantitative Techniques,Business
https://www.class-central.com/course/coursera-animer-une-seance-collaborative-10763,Animer une séance collaborative,Business
https://www.class-central.com/course/coursera-------11766,Человеческий фактор в разработке корпоративных систем,Business
https://www.class-central.com/course/coursera-connecting-with-sales-prospects-11794,Connecting with Sales Prospects,Business
https://www.class-central.com/course/coursera-building-a-toolkit-for-your-sales-process-11796,Building a Toolkit for Your Sales Process,Business
https://www.class-central.com/course/coursera-analisis-de-situaciones-de-negocio-12318,Análisis de situaciones de negocio,Business
https://www.class-central.com/course/coursera-sales-training-sales-team-management-12428,Sales Training: Sales Team Management,Business
https://www.class-central.com/course/coursera-forecasting-budgeting-territories-evaluation-and-legal-ethical-issues-12431,"Forecasting, Budgeting, Territories, Evaluation and Legal/Ethical Issues",Business
https://www.class-central.com/course/coursera-subsistence-marketplaces-1363,Subsistence Marketplaces,Business
https://www.class-central.com/course/coursera-managing-the-company-of-the-future-2920,Managing the Company of the Future,Business
https://www.class-central.com/course/coursera-more-introduction-to-financial-accounting-3539,More Introduction to Financial Accounting,Business
https://www.class-central.com/course/coursera-financial-planning-for-young-adults-3965,Financial Planning for Young Adults,Business
https://www.class-central.com/course/coursera-proyecto-de-fundamentos-empresariales-de-wharton-4738,Proyecto de Fundamentos Empresariales de Wharton,Business
https://www.class-central.com/course/coursera-les-partenariats-qui-changent-le-monde-alliances-innovantes-entre-entreprises-et-associations-5227,Les partenariats qui changent le monde : alliances innovantes entre entreprises et associations,Business
https://www.class-central.com/course/coursera----5405,Инвестиции в акции,Business
https://www.class-central.com/course/coursera-recruiting-hiring-and-onboarding-employees-5495,"Recruiting, Hiring, and Onboarding Employees",Business
https://www.class-central.com/course/coursera-investment-management-in-an-evolving-and-volatile-world-by-hec-paris-and-axa-investment-managers-5410,Investment Management in an Evolving and Volatile World by HEC Paris and AXA Investment Managers,Business
https://www.class-central.com/course/coursera-comunicaciones-integradas-de-marketing-publicidad-relaciones-publicas-marketing-digital-y-mas-5984,"Comunicaciones integradas de marketing: Publicidad, Relaciones Públicas, Marketing Digital y más",Business
https://www.class-central.com/course/coursera-understanding-financial-statements-company-position-6079,Understanding Financial Statements: Company Position,Business
https://www.class-central.com/course/coursera-l-impact-investing-etre-acteur-6212,L'impact investing : être acteur,Business
https://www.class-central.com/course/coursera-l-impact-investing-innover-6536,L'impact investing : innover,Business
https://www.class-central.com/course/coursera-financial-accounting-foundations-6749,Financial Accounting: Foundations,Business
https://www.class-central.com/course/coursera-financial-accounting-advanced-topics-6753,Financial Accounting: Advanced Topics,Business
https://www.class-central.com/course/coursera-investments-ii-lessons-and-applications-for-investors-6756,Investments II: Lessons and Applications for Investors,Business
https://www.class-central.com/course/coursera-marketing-management-i-6759,Marketing Management I,Business
https://www.class-central.com/course/coursera-introduction-to-data-analytics-for-business-7028,Introduction to Data Analytics for Business,Business
https://www.class-central.com/course/coursera-crafting-strategies-for-innovation-initiatives-for-corporate-entrepreneurs-7177,Crafting Strategies for Innovation Initiatives for Corporate Entrepreneurs,Business
https://www.class-central.com/course/coursera-financing-and-profiting-from-innovation-for-corporate-entrepreneurs-7178,Financing and Profiting from Innovation for Corporate Entrepreneurs,Business
